ID в ИС ГТИБД,Название,Название (англ.),Тип,Адрес (ручной),Дом,Район,Округ,Город,Улица,Адрес,Ближайшее метро,Ближайшая линия метро,Расстояние до метро (м),Метро (широта),Метро (долгота),Телефоны,Сайт,Электропочта,Описание,Описание (англ.),Доступно для людей с ограниченными возможностями,Геопозиция объекта (широта),Геопозиция объекта (долгота)
3321,Особняк Румянцева (Экспозиция «Ленинград в годы Великой Отечественной войны»),"Exposition ""Leningrad in days of the Great Patriotic War""",Военно-исторический,"190000, Санкт-Петербург, Английская наб., 44",44,Адмиралтейский район,муниципальный округ Адмиралтейский,Санкт-Петербург,Английская набережная,"Санкт-Петербург, Английская набережная, 44",Василеостровская,Невско-Василеостровская линия,1601,59.942516,30.278274,+7(812)717544;,www.spbmuseum.ru,,,,0,59.932623,30.289524
4386,"Арт-салон ""Русская Усадьба""",Art Salon Russian Usadba,негосударственное учреждение,"191025, Санкт-Петербург, стремянная ул., 7",7,Центральный район,муниципальный округ Владимирский,Санкт-Петербург,Стремянная улица,"Санкт-Петербург, Стремянная улица, 7",Маяковская,Невско-Василеостровская линия,362,59.931427,30.355178,+7(812)3152269;,www.russian-usadba.ru,rus_usadba@mail.ru,В арт-салоне представлены предметы русского быта.,In this art salon you can find Russian traditional objects of art.,0,59.93089,30.350292
4387,"Выставочный зал ""НоМИ""","Exhibition Hall ""NoMe""",негосударственное учреждение,"197198, Санкт-Петербург, ижорская ул., 13/39",13,Петроградский район,муниципальный округ Петровский,Санкт-Петербург,Ижорская улица,"Санкт-Петербург, Ижорская улица, 13",Чкаловская,Фрунзенско-Приморская линия,386,59.961138,30.292018,+7(812)2330854; +7(812)3203162;,www.worldart.ru,art@worldart.ru,"Устраиваются персональные и групповые выставки, проводятся литературные чтения. Формируется художественная коллекция.","Arranged solo and group exhibitions, literary readings.",0,59.959291,30.297192
4388,"Выставочный зал Правительства Ленинградской области ""Смольный""","Exhibition Hall of the Government of Leningrad region ""Smolny""",ведомственное учреждение,"191311, Санкт-Петербург, ул. смольного, 3",3,Центральный район,муниципальный округ Смольнинское,Санкт-Петербург,улица Смольного,"Санкт-Петербург, улица Смольного, 3",Новочеркасская,Правобережная линия,3368,59.928893,30.411925,+7(812)5795722;,www.lomuza.spb.ru,mus_agency_obl@inbox.ru,"Здесь проводятся выставки, представляющие культурную жизнь Ленинградской области – культуру и быт населяющих ее народов, историю городов, замков, крепостей, поместий и выдающихся деятелей русской истории и культуры.","Here exhibitions of cultural life of the Leningrad region are held - culture and life of its peoples, history, towns, castles, fortresses, estates and prominent figures of Russian history and culture.",0,59.951182,30.396707
4389,Выставочный зал Союза художников России,Exhibition Hall of the Union of Artists of Russia,негосударственное учреждение,"195027, Санкт-Петербург, свердловская наб., 64",64,Красногвардейский район,муниципальный округ Большая Охта,Санкт-Петербург,Свердловская набережная,"Санкт-Петербург, Свердловская набережная, 64",Новочеркасская,Правобережная линия,2714,59.928893,30.411925,+7(812)2240633; +7(812)2240637;,www.lomuza.spb.ru,mus_agency_obl@inbox.ru,Работы представителей Союза художников России.,Works of representatives of the Union of Artists of Russia.,0,59.950704,30.408395
4390,"Выставочный центр ""Ленэкспо""",Lenexpo Exhibition Complex,негосударственное учреждение,"199106, Санкт-Петербург, большой пр. в.о., 103",103,Василеостровский район,муниципальный округ Гавань,Санкт-Петербург,Большой проспект В.О.,"Санкт-Петербург, Большой проспект В.О., 103",Приморская,Невско-Василеостровская линия,2348,59.948456,30.234633,+7(812)3212615;,www.lenexpo.ru,mus_agency_obl@inbox.ru,"«Ленэкспо» сегодня – один из крупнейших комплексов в России и самый большой конгрессный и выставочный центр на Северо-Западе, расположенный на берегу Финского залива в центре международных торговых путей.",Today “Lenexpo” is one of the biggest specialised exhibition complexes in Russia and the largest conference and exhibition centre in the North-West of our country.,0,59.931774,30.235047
4391,Выставочный центр Санкт-Петербургского Союза художников,Exhibition Center Saint-Petersburg Union of Artist,негосударственное учреждение,"190000, Санкт-Петербург, большая морская ул., 38",38,Адмиралтейский район,муниципальный округ Адмиралтейский,Санкт-Петербург,Большая Морская улица,"Санкт-Петербург, Большая Морская улица, 38",Адмиралтейская,Фрунзенско-Приморская линия,474,59.935867,30.31523,+7(812)3143060; +7(812)3157426; +7(812)3144734;,www.spb-uniart.ru,finearts@yandex.ru,"Ежегодно в стенах дома на Большой Морской проходят горячо любимые петербуржцами Осенняя и  Весенняя выставки, ""Андреевский Флаг"", ""Русский Север"", ""День Победы"", ""Общегородская выставка детского творчества"".","Within the precincts of the house several annual exhibitions take place, among them favourite ""Autumn"" and ""Spring"" exhibitions,  ""Andreevsky Flag"", ""Russian North"", ""Victory Day"", ""Blockade"".",0,59.93296,30.311386
4424,"Государственный музей городской скульптуры, Новый выставочный зал","State City Sculpture Museum, New Exhibition Hall",гос. городское учреждение,"191176, Санкт-Петербург, невский пр., 179/2 (вход с чернорецкого пер.2)",179,Центральный район,муниципальный округ Лиговка-Ямская,Санкт-Петербург,Невский проспект,"Санкт-Петербург, Невский проспект, 179",Площадь Александра Невского 2,Правобережная линия,,59.923563,30.383421,+7(812)2742579;,www.gmgs.ru,arthall@gmgs.spb.ru,Выставочный зал,Exhibition Hall,0,59.923085,30.385137
4425,"Государственный музейно-выставочный центр ""РОСФОТО""",The State Russian Museum and Exhibition Centre ROSPHOTO,гос. федеральное учреждение,"191186, Санкт-Петербург, большая морская ул., 35",35,Адмиралтейский район,муниципальный округ Адмиралтейский,Санкт-Петербург,Большая Морская улица,"Санкт-Петербург, Большая Морская улица, 35",Адмиралтейская,Фрунзенско-Приморская линия,,59.935867,30.31523,+7(812)3141214; +7(812)3146184;,www.rosphoto.org,office@rosphoto.org,Центр выставочной и научной деятельности,Exhibition and Sience Centr,0,59.933406,30.309921
4426,Манеж Кадетского корпуса,Manege of the Cadet Corps,негосударственное учреждение,"199034, Санкт-Петербург, университетская наб., 13",13,Василеостровский район,муниципальный округ № 7,Санкт-Петербург,Университетская набережная,"Санкт-Петербург, Университетская набережная, 13",Адмиралтейская,Фрунзенско-Приморская линия,,59.935867,30.31523,+7(812)3278942; +7(812)3278947;,www.elbagroup.ru/manege,info@elbagroup.ru,"Площадка для событий совершенно разного типа: конференций, модных показов, концертов, банкетов, выставок, выпускных и пр.","The space for different kinds of events: conferences, fashion shows, concerts, banquets, exhibitions, graduations ans etc.",0,59.939271,30.298162
